2021-02-05 20:02:282 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: location]
2021-02-05 20:02:427 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: distance]
2021-02-05 20:02:776 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: toggle-hp-search]
2021-02-05 20:02:46 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: salarymin]
2021-02-05 20:02:151 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: salarymax]
2021-02-05 20:02:262 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: salarytype]
2021-02-05 20:02:372 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (3aaa3f31b748574464e1a0f77a292bce)] -> id: tempperm]
2021-02-05 20:02:473 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:269 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: keywords]
2021-02-05 20:02:575 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: location]
2021-02-05 20:02:731 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: distance]
2021-02-05 20:02:971 INFO  HomePage :62 - Click on more search  [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: toggle-hp-search]
2021-02-05 20:02:254 INFO  HomePage :69 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: salarymin]
2021-02-05 20:02:361 INFO  HomePage :77 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: salarymax]
2021-02-05 20:02:473 INFO  HomePage :83 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: salarytype]
2021-02-05 20:02:624 INFO  HomePage :90 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: tempperm]
2021-02-05 20:02:801 INFO  HomePage :97 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (6d31211ca125c19747a3b5db899e31a9)] -> id: hp-search-btn]
2021-02-05 20:02:211 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:288 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (3f71bf927f2e7cdfd5ba512c2a3fb26a)] -> id: keywords]
2021-02-05 20:02:130 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:127 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (82488422dba1f95ae51233e5f11f872f)] -> id: keywords]
2021-02-05 20:02:997 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:728 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:161 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (2fbd5801d039ed8705ea2b0c5e1a43ac)] -> id: keywords]
2021-02-05 20:02:367 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:337 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (940ff8f0f3e8528b51d10a94ca733907)] -> id: keywords]
2021-02-05 20:02:468 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (940ff8f0f3e8528b51d10a94ca733907)] -> id: location]
2021-02-05 20:02:676 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (940ff8f0f3e8528b51d10a94ca733907)] -> id: distance]
2021-02-05 20:02:374 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:491 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: keywords]
2021-02-05 20:02:641 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: location]
2021-02-05 20:02:941 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: distance]
2021-02-05 20:02:308 INFO  HomePage :63 - Click on more search  [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: toggle-hp-search]
2021-02-05 20:02:556 INFO  HomePage :70 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: salarymin]
2021-02-05 20:02:678 INFO  HomePage :78 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: salarymax]
2021-02-05 20:02:787 INFO  HomePage :84 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: salarytype]
2021-02-05 20:02:925 INFO  HomePage :91 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (47176ae6578897eb8e85a2a06027c4a2)] -> id: tempperm]
2021-02-05 20:02:620 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:48 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: keywords]
2021-02-05 20:02:201 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: location]
2021-02-05 20:02:423 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: distance]
2021-02-05 20:02:867 INFO  HomePage :63 - Click on more search  [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: toggle-hp-search]
2021-02-05 20:02:102 INFO  HomePage :70 - Enter salarymin [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: salarymin]
2021-02-05 20:02:259 INFO  HomePage :78 - Enter salarymax [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: salarymax]
2021-02-05 20:02:466 INFO  HomePage :84 - Enter salarytype [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: salarytype]
2021-02-05 20:02:627 INFO  HomePage :91 - Enter jobtype [[ChromeDriver: chrome on WINDOWS (090f657b10046bce42d1b29f4ccc8de6)] -> id: tempperm]
2021-02-05 20:02:221 INFO  BrowserSelector :17 - Launching Chrome Browser
2021-02-05 20:02:433 INFO  HomePage :43 - Enter job title [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: keywords]
2021-02-05 20:02:573 INFO  HomePage :49 - Enter location title [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: location]
2021-02-05 20:02:809 INFO  HomePage :56 - Enter distance title [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: distance]
2021-02-05 20:02:49 INFO  HomePage :63 - Click on more search  [[ChromeDriver: chrome on WINDOWS (febe7f1a1718850b7664622f8ebe2d70)] -> id: toggle-hp-search]
